,Aberdeen Falls,Abhayagiri Dagaba,Ambewela Farms,Ambuluwawa Tower,Ancient City of Polonnaruwa,Angurukaramulla Temple,Arugam Bay,Bahiravokanda Vihara Buddha Statue,Baker's Falls,Bambarakanda Falls,Batticaloa Fort,Beddegana Wetland Park,Bentota Beach,Bogoda Wooden Bridge,Bopath Ella (Bopath Falls),Brief Garden - Bevis Bawa,Buduruwagala Temple,Casuarina Beach,Ceylon Tea Museum,Coconut Tree Hill,Colombo Lotus Tower,Colombo National Museum,Dagoba of Thuparama,Dambulla Cave Temple,Dehiwala Zoo - Sri Lanka,Demodara Loop,Devon Falls,Diyaluma Falls,Diyatha Uyana,Dondra Head Lighthouse,Dunhinda Falls,Dutch Hospital Shopping Precinct,Elephant Pass,Elephant Transit Home (ETH),Ella Rock,Embekka Devalaya,Fort Frederick,Gal Oya National Park,Gal Vihara,Galle Dutch Fort,Galle Face Green,Galle Face Hotel,Galle Fort Lighthouse,Galway's Land National Park,Gangaramaya Temple,Gartmore Falls,Goyambokka Beach,Gregory Lake,Hakgala Botanic Gardens,Handunugoda Tea Estate,Henerathgoda Botanical Garden,Hikkaduwa Beach,Hiriketiya Beach,Horton Plains National Park,Hummanaya Blow Hole,Hurulu Eco Park,Independence Memorial Hall,Isurumuniya Temple,Jaffna Fort,Jaffna Public Library,Jami Ul-Alfar Mosque,Japanese Peace Pagoda - Rumassala,Jaya Sri Maha Bodhi,Jungle Beach,Kabalana Beach,Kalametiya Eco Bird Watching,Kalutara Bodhiya,Kande Viharaya Temple,Kandy Lake,Kandy View Point,Kanniya Hot Springs,Kataragama Temple,Kaudulla National Park,Keerimalai Hot springs,Kelaniya Raja Maha Vihara,Kiri Vehera,Kirinda Viharaya,Knuckles Mountain Range,Koggala Lake,Kosgoda Sea Turtle Conservation Project,Kumana National Park,Laxapana Falls,Lipton’s Seat,Little Adam's Peak View Point,Lovamahapaya Brazen Palace,Lover's Leap Falls,Lunugamvehera National Park,Madu River Safari by Buddhi,Maduru Oya National Park,Maha Saman Dewalaya,Maligawila Buddha Statue,Marble Beach,Matara Paravi Duwa Temple,Mihintale,Minneriya National Park,Mirissa Beach,Moon Plains,Moonstone or Sandakada pahana,Mount Lavinia Beach,Mulgirigala Raja Maha Vihara,Muthurajawela Marsh,Nagadipa Purana Vihara,Nalanda Gedige,Nallur Kandaswamy Kovil Festival,Negombo Beach,Negombo Fish Market,Nilavarai Bottomless Well,Nilaveli Beach,Nine Arches Bridge,Old Parliament Building,Pasikudah Beach,Pedro Tea Factory,Pettah Floating Market,Pidurangala Rock,Pidurutalagala,Pinnawala Elephant Orphanage,Pitawala Pathana,Polhena Beach,Polonnaruwa Vatadage,Popham's Arboretum,Rankoth Vehera,Ravana Ella Falls,Richmond Castle,Ridee Viharaya (silver Temple),Ritigala Forest Monastery,Royal Botanical Gardens,Ruwanweli Maha Seya,Samadhi Statue,Samudra Parakrama,Sea Turtle Conservation Project (Koggala),Sea Turtle Farm Galle Mahamodara,Seema Malakaya Temple,Seenigama Muhudu Viharaya,Seruwila Mangala Raja Maha Vihara,Sigiriya Lion Rock,Single Tree Hill,Sinharaja Forest Reserve,Sithulpawwa Rock Temple,Somawathiya Chaitya,Sri Pada / Adam's Peak,St Benedict's Monastery - Adisham,St Clair's Falls,St Lucia's Cathedral,St. Mary's Church,Statue of Parakramabahu I,Temple of the Sacred Tooth Relic,Trincomalee Beach,Trincomalee War Cemetery,Turtle Conservation Project Turtle Watch,Twin Baths (Kuttam Pokuna),Udawalawe National Park,Unawatuna Beach,Uppuveli Beach,Victoria Park of Nuwara Eliya,Viharamahadevi Park,Visit Kanneliya Rain Forest,Wasgamuwa National Park,Weherahena Buddhist Temple,Weligama Beach,Wewurukannala Vihara,Whale Watching in Mirissa,Wilpattu National Park,Wolvendaal Church,Yala National Park,Yapahuwa Rock Fortress
Dambulla Cave Temple,289.31,126.02,303.19,220.89,79.53,224.44,340.68,177.17,337.56,345.15,232.0,267.05,345.25,288.13,240.12,335.77,274.6,451.2,184.99,423.97,267.67,270.12,122.86,0.0,277.5,326.87,284.74,373.03,265.94,426.26,294.11,413.62,371.08,316.94,339.28,202.48,205.32,231.9,80.98,413.62,269.99,270.56,414.12,283.09,269.67,340.18,407.78,286.91,297.13,410.49,220.59,397.62,417.15,333.69,414.17,51.69,270.28,119.33,421.26,420.96,266.67,415.1,120.62,421.03,418.85,394.14,317.4,340.71,178.16,177.86,202.23,356.67,91.12,452.34,255.15,80.92,391.51,136.33,414.06,358.27,351.52,304.67,357.26,337.61,120.44,280.09,326.25,373.16,124.47,265.47,292.12,189.3,420.84,114.38,56.28,423.26,289.24,112.67,282.39,382.17,233.33,430.94,41.14,422.29,222.15,227.99,435.22,219.99,334.24,269.2,199.73,282.62,267.19,34.48,271.95,135.06,71.52,423.67,79.53,6.05,80.57,336.28,313.0,78.34,60.54,185.01,121.74,123.81,70.11,416.73,411.42,269.73,393.94,184.94,32.79,284.87,322.05,367.89,127.52,326.44,352.29,288.02,263.49,264.39,78.56,177.09,207.5,207.42,401.06,114.33,300.58,416.44,205.78,282.62,269.31,360.33,63.39,419.44,418.49,420.97,431.35,189.75,265.06,339.57,74.19
Dehiwala Zoo - Sri Lanka,198.09,352.17,288.13,230.91,342.98,77.73,427.65,272.94,286.61,299.98,441.29,10.57,52.18,353.55,58.08,50.69,266.2,639.79,269.81,128.15,15.76,12.07,349.0,277.5,0.0,371.81,237.88,363.51,11.7,138.32,374.7,105.49,598.65,226.92,367.91,244.41,482.78,361.21,347.0,105.49,16.27,15.15,105.74,284.27,13.65,215.36,272.35,284.31,296.19,114.37,58.78,88.82,268.27,290.21,270.69,328.89,10.43,344.24,618.28,618.28,18.55,107.52,346.83,122.83,117.46,287.42,62.39,50.13,275.98,275.42,479.49,336.02,368.58,651.19,22.93,346.56,349.44,343.86,113.7,61.39,395.06,196.14,357.24,371.25,345.66,287.06,302.18,71.14,310.53,62.54,324.42,466.68,131.66,358.62,332.42,127.36,292.67,341.25,5.04,248.4,57.89,607.09,245.79,621.23,85.14,78.46,639.56,497.01,370.82,17.62,437.54,289.86,17.16,311.69,284.44,148.62,245.25,132.18,343.77,281.9,345.75,370.2,60.42,201.39,328.74,260.23,347.86,350.53,331.12,114.51,103.58,13.51,86.18,458.82,309.82,279.21,90.78,359.77,396.58,202.93,331.09,243.41,20.07,19.74,341.44,276.0,484.98,484.89,278.69,338.77,234.25,108.65,483.27,280.91,13.02,90.42,299.67,134.06,122.53,272.7,133.38,351.99,18.98,362.59,231.78
Demodara Loop,176.08,506.76,83.76,180.69,326.94,389.91,240.0,182.96,92.42,83.19,323.08,360.64,365.85,39.3,219.28,349.91,68.64,971.31,177.15,355.63,376.54,375.66,502.2,326.87,371.81,0.0,136.35,54.28,359.51,341.81,35.98,381.47,849.88,168.32,15.39,183.94,530.34,164.23,335.29,381.47,380.85,380.31,382.03,91.48,377.01,162.39,294.64,90.28,76.56,354.99,342.19,386.19,315.94,87.17,308.16,374.83,373.56,496.95,928.11,927.66,378.64,380.06,498.94,359.91,366.3,258.79,358.82,361.63,179.21,180.02,540.62,183.0,403.16,972.06,357.94,334.14,232.52,190.89,364.03,369.43,207.86,175.84,41.23,11.81,498.6,89.96,139.61,376.63,200.49,224.7,105.43,508.35,342.58,489.11,356.53,355.65,81.71,487.59,375.0,265.71,375.9,942.26,274.29,929.38,396.45,396.66,946.95,566.16,8.38,381.36,358.31,86.46,377.64,347.53,95.79,245.55,225.17,347.42,329.19,324.79,332.55,10.86,353.04,267.75,406.56,186.3,500.59,503.61,315.17,368.01,381.02,376.93,384.51,468.6,344.83,95.7,235.89,202.05,384.58,170.57,58.39,130.09,375.11,376.33,324.79,180.36,539.57,540.81,277.33,489.58,134.59,380.46,535.76,94.78,375.54,304.24,268.48,335.46,355.14,319.74,361.11,585.94,376.44,173.34,371.36
Devon Falls,40.03,452.46,53.85,70.93,332.06,255.56,376.29,107.59,70.56,83.94,411.06,225.94,257.76,115.69,94.09,241.74,163.46,913.99,99.75,322.37,241.09,240.51,447.6,284.74,237.88,136.35,0.0,142.93,224.72,324.21,136.84,317.87,812.4,175.05,135.3,86.01,546.56,280.05,339.86,317.87,245.44,244.97,318.56,46.39,241.74,58.69,300.11,46.65,59.81,306.47,206.4,305.72,311.89,70.41,308.19,350.81,238.54,441.39,874.31,874.01,243.02,318.79,444.17,319.56,318.51,287.57,238.63,252.34,106.61,106.89,550.33,283.05,395.14,920.12,222.13,338.87,319.82,165.51,312.73,267.99,339.75,43.59,131.81,137.87,443.29,49.2,232.29,282.21,239.38,115.54,236.23,523.16,316.86,444.0,341.81,321.47,55.16,433.29,241.65,262.69,240.06,878.42,225.96,876.62,262.78,262.2,897.54,576.66,136.8,245.85,423.04,51.96,242.1,321.73,47.44,133.41,191.89,321.0,333.94,286.35,337.35,136.67,232.29,189.06,371.21,100.93,445.86,449.4,316.29,316.69,315.62,241.67,301.95,495.41,318.73,41.42,177.64,311.59,404.36,51.64,109.56,6.81,239.36,240.6,329.68,107.66,553.33,553.99,293.06,433.33,159.9,320.25,550.01,43.03,240.3,238.37,264.54,314.55,315.64,317.51,332.36,508.5,240.77,298.97,289.82
Diyaluma Falls,178.67,552.09,91.11,202.5,379.8,397.05,252.11,216.3,77.81,63.9,372.19,354.0,337.86,87.13,207.96,322.41,21.3,1017.32,209.46,305.51,371.4,369.79,547.41,373.03,363.51,54.28,142.93,0.0,353.04,289.63,89.85,337.26,899.46,117.3,38.91,210.28,584.44,207.3,388.18,337.26,375.56,374.81,337.78,107.81,371.4,148.2,240.81,104.91,89.96,307.74,346.2,346.74,262.65,75.28,254.61,424.67,367.41,541.93,974.83,974.4,373.99,335.27,544.09,310.97,318.71,204.56,337.84,334.33,213.06,213.77,594.49,144.51,455.23,1019.21,354.24,387.02,188.81,236.79,317.23,338.25,201.15,173.72,15.77,42.66,543.64,108.43,95.79,342.36,254.53,204.11,100.26,562.39,291.45,536.21,407.51,305.68,97.97,532.78,365.76,212.89,379.54,986.7,318.21,976.31,404.74,403.56,994.56,620.08,45.94,376.35,411.02,104.76,372.75,396.84,116.53,268.89,270.86,296.34,382.03,371.64,385.44,43.44,332.57,303.77,454.86,216.88,545.76,548.91,367.59,321.15,337.29,371.29,345.79,522.88,394.05,109.78,195.47,170.1,438.6,161.4,33.73,136.11,370.93,372.02,377.61,214.26,593.59,594.81,223.14,534.34,82.74,335.42,589.82,110.31,369.86,262.67,319.82,283.78,306.09,266.27,310.2,625.76,371.98,157.16,408.34
Diyatha Uyana,184.78,341.81,275.74,215.23,331.29,70.67,419.34,256.74,275.7,289.26,430.22,1.12,55.42,340.2,54.31,53.34,259.19,631.68,253.71,129.51,13.92,11.88,338.62,265.94,11.7,359.51,224.72,353.04,0.0,139.18,361.35,107.94,589.08,222.93,356.1,228.41,471.18,351.29,335.3,107.94,16.39,15.63,108.19,271.11,13.21,205.14,272.04,271.31,283.52,116.03,48.09,91.8,268.77,279.11,270.87,317.35,10.1,333.84,609.83,609.83,16.5,109.88,336.42,124.4,119.29,285.62,36.48,53.25,259.82,259.26,467.99,330.66,357.0,642.75,12.72,334.86,345.21,327.47,115.57,64.57,387.88,183.66,346.24,359.31,335.28,273.79,296.48,74.31,299.25,60.0,316.84,455.08,132.69,347.9,320.79,128.74,279.73,330.76,16.47,247.56,50.25,599.33,234.1,612.69,78.28,71.98,630.88,485.52,358.78,17.28,426.06,276.69,15.23,300.09,270.9,136.95,233.61,133.29,332.07,270.3,334.05,358.24,65.8,189.72,317.44,244.05,337.49,340.15,319.43,116.45,106.07,13.12,89.18,447.13,298.23,266.14,89.92,354.18,384.88,191.85,320.29,230.42,15.97,16.24,329.75,259.82,473.43,473.34,277.67,328.36,229.17,110.99,471.71,267.75,12.12,91.32,287.99,134.89,124.02,273.23,134.72,343.23,15.78,355.83,220.95
Dondra Head Lighthouse,324.3,541.11,315.36,390.34,453.42,326.61,338.66,431.76,280.76,278.34,462.65,139.06,91.97,364.14,106.66,90.44,198.85,859.74,423.94,27.84,146.0,144.25,537.69,426.26,138.32,341.81,324.21,289.63,139.18,0.0,374.53,45.47,794.46,121.55,326.74,407.89,602.17,344.87,459.15,45.47,146.77,146.19,45.41,333.51,145.14,269.87,45.18,329.87,324.24,54.3,291.6,62.94,26.36,285.96,34.01,472.04,143.18,533.19,833.5,833.34,147.54,43.06,535.29,40.48,54.28,83.7,107.64,92.98,430.82,431.1,606.86,192.09,501.28,866.0,144.38,458.4,174.47,485.1,60.12,84.29,280.19,308.91,300.69,331.05,534.57,337.26,181.49,76.96,373.94,92.58,243.12,586.12,14.21,536.85,464.6,29.37,330.45,527.88,137.04,54.24,306.68,832.2,385.11,835.46,334.27,329.3,851.08,625.18,333.94,147.44,490.08,335.79,146.78,451.68,344.19,307.0,360.09,15.35,454.86,427.4,457.29,331.5,107.71,356.35,486.79,424.39,536.48,539.03,443.21,60.79,47.17,145.06,64.95,562.08,449.58,330.3,57.34,213.51,500.29,285.47,287.59,321.15,147.62,147.69,451.78,431.87,607.74,608.38,62.89,527.48,145.08,42.1,605.25,332.94,144.65,47.9,407.28,8.05,38.45,27.73,22.07,570.76,147.38,245.77,421.89
Dunhinda Falls,176.64,474.13,90.86,167.4,291.02,382.39,245.42,160.84,110.87,105.3,295.67,362.59,381.73,21.17,227.1,365.64,104.55,938.01,156.02,386.64,377.31,376.93,469.63,294.11,374.7,35.98,136.84,89.85,361.35,374.53,0.0,408.09,814.95,200.91,51.04,167.14,494.61,146.01,299.38,408.09,381.69,381.28,408.66,90.56,378.09,174.39,329.08,90.84,81.04,383.85,337.31,409.48,349.78,105.04,342.28,340.03,375.04,464.51,894.49,894.02,379.07,407.06,466.39,390.02,395.38,294.36,370.18,377.08,156.81,157.67,504.73,215.57,367.44,938.21,357.99,298.22,266.4,159.09,392.55,387.34,225.79,179.51,75.81,47.76,466.11,87.64,174.19,396.54,164.7,238.16,127.99,472.54,374.4,455.55,321.24,386.55,82.82,455.04,378.51,299.16,370.82,909.73,243.15,895.65,388.09,389.23,912.88,530.29,44.31,382.01,326.31,84.94,378.24,313.01,90.62,229.11,193.2,379.2,293.27,291.64,296.64,46.78,364.14,242.01,372.47,166.2,468.02,470.98,279.36,396.58,407.29,378.02,407.36,433.22,310.35,95.72,261.19,232.01,348.77,179.04,87.41,131.53,375.28,376.54,288.88,157.89,503.76,504.99,312.34,457.26,168.0,407.66,499.97,93.88,376.67,329.53,233.1,367.78,385.31,353.74,392.74,556.31,376.76,197.19,344.12
Dutch Hospital Shopping Precinct,302.96,517.54,329.4,371.29,454.75,272.42,395.99,418.54,299.59,303.0,492.56,107.67,54.05,392.59,92.65,54.8,237.47,825.76,411.34,57.8,113.78,111.86,514.15,413.62,105.49,381.47,317.87,337.26,107.94,45.47,408.09,0.0,771.21,157.68,368.25,390.09,604.86,380.81,460.15,0.0,114.18,113.58,0.51,343.03,112.73,259.2,122.91,340.03,339.79,31.82,241.73,35.37,107.69,305.49,114.21,463.12,110.88,509.46,801.74,801.64,115.31,4.71,511.78,44.98,31.14,157.68,72.4,55.78,418.82,418.86,606.93,256.94,496.89,834.58,114.1,459.48,247.59,482.94,25.21,45.06,342.1,288.09,343.67,372.84,510.88,347.16,237.32,67.28,386.46,79.02,292.06,588.45,38.02,517.26,459.13,56.17,343.63,504.93,103.65,115.12,251.86,795.45,373.53,804.17,280.14,274.15,821.16,625.33,374.96,114.89,511.33,346.97,114.56,443.08,351.92,282.8,354.93,37.3,456.04,415.9,458.42,372.81,73.27,337.68,473.21,408.54,512.94,515.6,443.58,24.51,3.77,112.66,40.03,569.24,440.99,338.51,54.98,280.69,505.54,268.74,323.1,317.29,115.82,115.77,453.09,419.66,609.4,609.81,138.65,503.72,181.09,6.82,607.12,341.34,112.34,56.09,407.42,42.47,46.82,110.67,66.18,535.25,115.4,306.23,394.59
Elephant Pass,810.94,184.76,833.31,744.64,372.33,523.71,484.67,705.26,867.66,875.21,355.54,590.01,687.47,812.72,599.59,680.16,642.3,90.21,713.16,789.56,584.26,587.73,187.23,371.08,598.65,849.88,812.4,899.46,589.08,794.46,814.95,771.21,0.0,687.96,863.53,727.35,201.26,408.22,366.81,771.21,585.33,586.29,771.72,813.21,586.58,865.07,778.37,817.01,827.1,773.11,541.63,749.38,787.0,863.81,784.36,241.83,588.79,190.6,66.48,65.93,582.08,773.43,188.98,785.18,781.2,765.18,654.08,682.94,706.74,706.35,188.6,523.61,230.54,77.54,576.42,367.62,550.25,664.03,775.71,703.14,506.37,826.41,883.76,861.26,189.58,810.19,503.56,720.28,464.32,626.24,472.27,206.14,787.91,187.56,251.62,788.67,819.28,194.18,603.57,752.44,541.71,100.7,411.78,63.99,517.35,524.54,62.11,181.73,857.79,584.1,314.2,812.7,583.17,351.84,802.07,489.75,441.57,790.54,370.74,371.07,368.66,860.04,650.38,438.15,226.71,711.49,188.13,186.22,378.05,778.2,768.51,586.68,745.05,234.61,353.77,814.95,688.1,529.04,255.21,849.6,881.1,816.26,579.57,580.2,373.56,705.62,194.81,193.56,772.05,194.78,671.58,775.07,196.68,812.72,586.74,721.69,407.64,787.31,782.94,790.95,797.58,182.83,581.0,504.2,376.64
Elephant Transit Home (ETH),191.29,437.85,150.13,245.94,335.67,272.13,240.12,278.79,115.33,109.35,342.65,223.26,180.02,191.12,128.08,170.67,80.73,761.94,270.94,131.75,236.82,234.63,434.47,316.94,226.92,168.32,175.05,117.3,222.93,121.55,200.91,157.68,687.96,0.0,153.43,260.7,482.97,226.64,341.48,157.68,239.29,238.49,157.99,169.93,236.08,136.86,92.32,166.14,157.44,134.55,234.47,169.66,104.98,119.55,100.4,359.3,232.7,430.23,733.83,733.6,239.25,155.76,432.07,135.82,141.93,78.77,190.76,178.77,276.92,277.37,488.5,113.86,385.65,765.75,227.9,340.71,122.58,321.84,141.47,175.51,190.22,178.37,127.37,157.78,431.53,173.16,85.26,173.73,253.32,110.7,134.59,467.1,122.06,430.41,349.98,131.88,164.72,424.35,226.89,69.2,255.47,737.37,276.18,735.35,278.9,276.04,749.61,506.73,160.59,240.21,368.61,170.94,238.06,339.09,181.07,214.08,247.45,125.46,337.17,317.2,339.58,158.16,188.16,254.49,376.86,274.2,433.26,435.69,325.98,144.15,158.19,236.0,169.97,441.81,337.04,167.91,69.03,138.69,380.79,155.57,114.28,169.97,237.97,238.51,334.06,278.08,488.85,489.57,84.15,424.63,24.3,155.61,486.28,170.23,235.0,110.07,290.66,116.98,132.41,108.1,135.12,478.4,238.23,154.28,325.4
Ella Rock,174.36,519.0,81.6,184.8,341.68,390.43,243.02,190.8,84.39,73.63,337.16,357.17,356.66,51.17,214.01,340.82,54.17,983.85,184.63,341.01,373.54,372.45,514.39,339.28,367.91,15.39,135.3,38.91,356.1,326.74,51.04,368.25,863.53,153.43,0.0,189.51,545.59,176.29,350.06,368.25,377.81,377.21,368.79,92.49,373.86,155.87,279.28,90.69,76.03,341.01,341.68,374.12,300.69,79.61,292.86,388.52,370.26,509.06,940.86,940.44,375.77,366.69,511.11,345.58,352.26,243.47,351.45,352.61,187.2,187.99,555.77,171.75,417.62,984.94,355.29,348.9,220.11,203.04,350.19,359.42,205.29,172.76,26.08,4.59,510.73,91.63,126.79,365.85,215.7,216.99,101.83,523.56,327.75,501.9,370.61,341.08,82.35,499.78,370.86,250.52,375.36,954.3,285.9,942.19,397.31,397.11,959.98,581.34,7.2,378.41,373.37,87.96,374.7,361.01,98.38,250.48,237.3,332.61,343.93,337.44,347.31,4.74,345.79,276.77,419.74,193.26,512.76,515.83,329.74,354.17,367.91,373.78,372.64,483.96,358.29,96.09,223.35,192.58,399.79,165.49,46.03,128.76,372.39,373.56,339.54,188.38,554.79,556.01,261.92,501.62,119.49,367.05,550.99,95.61,372.39,291.56,282.64,320.51,340.76,304.44,346.35,596.46,373.63,167.85,380.83
Embekka Devalaya,87.24,366.66,121.78,18.84,264.71,222.79,411.15,30.73,150.64,161.96,386.34,229.93,305.98,149.19,144.81,290.96,231.58,828.0,25.8,403.37,239.57,240.88,361.8,202.48,244.41,183.94,86.01,210.28,228.41,407.89,167.14,390.09,727.35,260.7,189.51,0.0,477.24,287.27,271.84,390.09,243.81,243.92,390.79,102.94,241.33,138.17,385.95,106.18,120.64,384.06,185.25,370.74,397.16,148.61,393.75,271.71,239.79,355.54,788.29,787.99,240.09,391.86,358.37,399.02,396.02,373.18,274.54,299.79,32.76,32.38,478.44,354.73,320.1,834.11,219.21,270.99,396.39,102.86,389.34,321.28,391.03,102.41,196.09,190.33,357.47,101.94,305.16,339.92,199.35,178.84,289.35,453.71,399.39,359.1,266.06,402.3,112.44,347.53,250.07,348.39,216.81,792.69,144.19,790.61,226.91,229.63,811.59,504.64,187.95,243.56,382.2,105.54,239.87,242.96,93.75,62.01,119.29,403.35,266.31,205.01,269.57,188.89,267.94,103.05,288.73,18.84,360.06,363.62,248.04,393.17,387.19,241.31,366.0,431.7,239.96,101.89,257.72,379.71,340.26,123.99,180.3,90.75,235.67,237.04,262.33,33.09,482.91,483.34,379.07,347.46,243.41,393.66,479.85,100.82,240.19,312.88,197.72,397.89,395.38,402.86,414.09,423.75,237.6,357.04,204.71
Fort Frederick,562.69,138.52,545.21,495.94,150.15,427.62,292.63,447.34,579.54,582.13,156.73,472.31,546.38,500.23,435.42,536.33,418.63,286.18,454.11,605.43,472.98,475.44,138.99,205.32,482.78,530.34,546.56,584.44,471.18,602.17,494.61,604.86,201.26,482.97,545.59,477.24,0.0,222.43,144.72,604.86,475.28,475.86,605.34,527.85,474.98,605.23,574.84,531.36,536.1,596.66,425.85,593.38,587.88,574.29,583.33,112.25,475.6,140.76,261.24,260.79,471.94,605.64,139.28,604.86,605.1,552.25,520.5,541.9,446.55,446.61,13.69,351.29,83.06,277.49,460.46,145.4,379.03,381.17,601.31,558.18,320.97,576.99,570.17,542.12,140.27,523.95,336.09,571.81,230.94,458.56,296.88,11.98,599.53,121.19,109.67,605.01,530.1,138.38,487.65,552.03,437.87,285.32,238.95,260.03,424.56,430.8,262.25,20.66,538.71,474.47,115.56,525.13,472.49,171.1,517.61,337.9,250.71,602.7,148.83,200.88,146.46,541.22,516.0,282.15,117.15,458.4,139.18,138.25,161.28,604.08,603.13,475.04,590.16,35.45,172.97,531.54,506.15,352.56,74.36,595.41,576.71,547.65,468.76,469.67,151.81,445.84,6.46,7.7,564.19,142.05,461.71,606.71,4.6,528.79,474.62,549.42,197.46,596.38,601.92,591.06,611.44,195.46,470.34,324.28,263.73
